,animal,cage,treatment,genotype,y
1,1,cage1,0,WT,4.763937875
2,2,cage1,A,KO,2.53374359
3,3,cage1,B,WT,5.499878934
4,4,cage1,0,KO,3.018454317
5,5,cage1,A,WT,4.074704101
6,6,cage1,B,KO,5.509018093
7,7,cage2,0,WT,2.023306578
8,8,cage2,A,KO,-0.4433785556
9,9,cage2,B,WT,3.10988323
10,10,cage2,0,KO,0.09459450795
11,11,cage2,A,WT,0.2551046729
12,12,cage2,B,KO,3.240412065
13,13,cage3,0,WT,0.5989190559
14,14,cage3,A,KO,-0.1179028096
15,15,cage3,B,WT,-1.067605572
16,16,cage3,0,KO,0.5877634897
17,17,cage3,A,WT,0.4915293247
18,18,cage3,B,KO,1.29554161
19,19,cage4,0,WT,3.076104494
20,20,cage4,A,KO,2.930366924
21,21,cage4,B,WT,3.648934966
22,22,cage4,0,KO,3.427060855
23,23,cage4,A,WT,2.254117045
24,24,cage4,B,KO,1.807545766
25,25,cage5,0,WT,0.3675020818
26,26,cage5,A,KO,-0.07639867878
27,27,cage5,B,WT,1.029086001
28,28,cage5,0,KO,0.7515435421
29,29,cage5,A,WT,0.4152916827
30,30,cage5,B,KO,2.851790387
31,31,cage6,0,WT,2.256490325
32,32,cage6,A,KO,-0.846020604
33,33,cage6,B,WT,2.005357402
34,34,cage6,0,KO,0.5051314709
35,35,cage6,A,WT,-0.4086496091
36,36,cage6,B,KO,3.505208377
